real;user;sys;
0:08.36;,24.35;0.46;
0:08.08;,24.07;0.42;
0:08.53;,24.20;0.38;
0:08.32;,24.00;0.38;
0:07.04;,20.86;0.35;
0:08.58;,24.60;0.49;
0:08.25;,24.26;0.62;
0:08.41;,24.91;0.38;
0:07.55;,22.46;0.37;
0:08.21;,23.07;0.41;
0:09.84;,26.72;0.46;
0:08.60;,24.87;0.43;
0:09.76;,27.14;0.38;
0:08.55;,23.82;0.37;
0:09.26;,26.88;0.51;
0:07.12;,20.61;0.40;
0:06.77;,20.13;0.36;
0:08.56;,23.46;0.45;
0:09.43;,26.23;0.51;
0:07.43;,20.99;0.36;
0:07.58;,21.18;0.39;
0:08.40;,23.18;0.34;
0:09.15;,26.11;0.51;
0:07.65;,21.80;0.42;
0:07.28;,21.10;0.36;
0:07.80;,23.02;0.40;
0:06.39;,19.44;0.36;
0:07.13;,20.71;0.34;
0:06.73;,20.31;0.38;
0:07.14;,21.52;0.36;
0:07.13;,20.39;0.38;
0:06.80;,20.07;0.36;
0:07.84;,23.33;0.42;
0:08.18;,23.58;0.47;
0:08.42;,25.09;0.36;
0:08.16;,24.12;0.47;
0:10.72;,26.70;0.46;
0:07.22;,20.83;0.36;
0:07.31;,21.28;0.41;
0:08.75;,24.92;0.42;
0:06.67;,19.58;0.38;
0:07.79;,22.87;0.33;
0:08.31;,23.95;0.42;
0:08.25;,23.66;0.36;
0:07.31;,21.17;0.40;
0:09.21;,24.45;0.47;
0:08.29;,27.46;0.38;
0:07.56;,22.06;0.40;
0:08.58;,25.15;0.40;
0:08.04;,23.26;0.41;
