real;user;sys
08.80;24.48;0.50
07.26;21.57;0.30
08.26;22.38;0.35
07.46;21.15;0.40
08.64;24.15;0.38
08.77;24.82;0.42
08.10;23.78;0.41
07.96;22.83;0.44
09.45;26.82;0.46
08.74;24.78;0.45
07.22;21.34;0.28
07.28;20.91;0.38
08.89;25.18;0.50
07.62;22.39;0.42
06.97;20.92;0.31
08.07;22.70;0.30
07.63;21.41;0.38
07.81;21.75;0.36
07.03;20.46;0.35
08.76;25.39;0.49
07.51;21.99;0.37
08.51;24.11;0.42
07.27;20.61;0.39
08.66;24.32;0.39
08.02;22.49;0.38
06.50;19.70;0.35
07.12;20.93;0.36
06.82;20.25;0.34
06.84;20.64;0.35
06.86;19.87;0.41
06.36;19.34;0.35
08.05;22.53;0.32
06.55;19.91;0.30
06.80;20.48;0.39
07.43;22.82;0.36
12.06;29.31;0.42
10.74;26.34;0.41
09.28;25.68;0.38
08.40;24.18;0.45
07.41;21.96;0.35
07.29;21.00;0.38
08.17;23.33;0.30
08.59;24.68;0.44
06.81;20.25;0.31
06.79;19.62;0.36
08.69;24.89;0.37
08.16;23.80;0.35
06.90;20.22;0.40
07.06;20.74;0.33
08.59;25.02;0.54
